Date,TLCADCON
2002-01-01,271000000.00
2002-02-01,278000000.00
2002-03-01,257000000.00
2002-04-01,245000000.00
2002-05-01,256000000.00
2002-06-01,263000000.00
2002-07-01,308000000.00
2002-08-01,335000000.00
2002-09-01,423000000.00
2002-10-01,310000000.00
2002-11-01,341000000.00
2002-12-01,338000000.00
2003-01-01,305000000.00
2003-02-01,265000000.00
2003-03-01,251000000.00
2003-04-01,316000000.00
2003-05-01,311000000.00
2003-06-01,336000000.00
2003-07-01,357000000.00
2003-08-01,387000000.00
2003-09-01,477000000.00
2003-10-01,336000000.00
2003-11-01,308000000.00
2003-12-01,288000000.00
2004-01-01,261000000.00
2004-02-01,283000000.00
2004-03-01,323000000.00
2004-04-01,316000000.00
2004-05-01,288000000.00
2004-06-01,314000000.00
2004-07-01,352000000.00
2004-08-01,384000000.00
2004-09-01,509000000.00
2004-10-01,337000000.00
2004-11-01,349000000.00
2004-12-01,329000000.00
2005-01-01,304000000.00
2005-02-01,325000000.00
2005-03-01,359000000.00
2005-04-01,307000000.00
2005-05-01,349000000.00
2005-06-01,396000000.00
2005-07-01,388000000.00
2005-08-01,437000000.00
2005-09-01,534000000.00
2005-10-01,321000000.00
2005-11-01,356000000.00
2005-12-01,378000000.00
2006-01-01,358000000.00
2006-02-01,332000000.00
2006-03-01,434000000.00
2006-04-01,410000000.00
2006-05-01,444000000.00
2006-06-01,434000000.00
2006-07-01,427000000.00
2006-08-01,463000000.00
2006-09-01,602000000.00
2006-10-01,377000000.00
2006-11-01,438000000.00
2006-12-01,410000000.00
2007-01-01,468000000.00
2007-02-01,363000000.00
2007-03-01,375000000.00
2007-04-01,355000000.00
2007-05-01,407000000.00
2007-06-01,421000000.00
2007-07-01,438000000.00
2007-08-01,454000000.00
2007-09-01,594000000.00
2007-10-01,449000000.00
2007-11-01,471000000.00
2007-12-01,468000000.00
2008-01-01,430000000.00
2008-02-01,396000000.00
2008-03-01,407000000.00
2008-04-01,385000000.00
2008-05-01,386000000.00
2008-06-01,426000000.00
2008-07-01,497000000.00
2008-08-01,469000000.00
2008-09-01,510000000.00
2008-10-01,401000000.00
2008-11-01,423000000.00
2008-12-01,502000000.00
2009-01-01,359000000.00
2009-02-01,438000000.00
2009-03-01,488000000.00
2009-04-01,503000000.00
2009-05-01,416000000.00
2009-06-01,444000000.00
2009-07-01,482000000.00
2009-08-01,476000000.00
2009-09-01,580000000.00
2009-10-01,464000000.00
2009-11-01,528000000.00
2009-12-01,574000000.00
2010-01-01,465000000.00
2010-02-01,441000000.00
2010-03-01,513000000.00
2010-04-01,607000000.00
2010-05-01,564000000.00
2010-06-01,684000000.00
2010-07-01,600000000.00
2010-08-01,610000000.00
2010-09-01,820000000.00
2010-10-01,579000000.00
2010-11-01,689000000.00
2010-12-01,600000000.00
2011-01-01,581000000.00
2011-02-01,613000000.00
2011-03-01,656000000.00
2011-04-01,635000000.00
2011-05-01,630000000.00
2011-06-01,671000000.00
2011-07-01,599000000.00
2011-08-01,725000000.00
2011-09-01,760000000.00
2011-10-01,588000000.00
2011-11-01,562000000.00
2011-12-01,520000000.00
2012-01-01,440000000.00
2012-02-01,446000000.00
2012-03-01,498000000.00
2012-04-01,476000000.00
2012-05-01,513000000.00
2012-06-01,514000000.00
2012-07-01,498000000.00
2012-08-01,582000000.00
2012-09-01,689000000.00
2012-10-01,545000000.00
2012-11-01,529000000.00
2012-12-01,499000000.00
2013-01-01,425000000.00
2013-02-01,457000000.00
2013-03-01,428000000.00
2013-04-01,482000000.00
2013-05-01,471000000.00
2013-06-01,439000000.00
2013-07-01,504000000.00
2013-08-01,533000000.00
2013-09-01,638000000.00
2013-10-01,531000000.00
2013-11-01,509000000.00
2013-12-01,551000000.00
2014-01-01,441000000.00
2014-02-01,517000000.00
2014-03-01,530000000.00
2014-04-01,524000000.00
2014-05-01,548000000.00
2014-06-01,647000000.00
2014-07-01,620000000.00
2014-08-01,649000000.00
2014-09-01,828000000.00
2014-10-01,701000000.00
2014-11-01,645000000.00
2014-12-01,660000000.00
2015-01-01,525000000.00
2015-02-01,631000000.00
2015-03-01,606000000.00
2015-04-01,644000000.00
2015-05-01,624000000.00
2015-06-01,615000000.00
2015-07-01,675000000.00
2015-08-01,735000000.00
2015-09-01,796000000.00
2015-10-01,656000000.00
2015-11-01,662000000.00
2015-12-01,557000000.00
2016-01-01,502000000.00
2016-02-01,607000000.00
2016-03-01,612000000.00
2016-04-01,618000000.00
2016-05-01,643000000.00
2016-06-01,681000000.00
2016-07-01,598000000.00
2016-08-01,677000000.00
2016-09-01,827000000.00
2016-10-01,607000000.00
2016-11-01,689000000.00
2016-12-01,658000000.00
2017-01-01,499000000.00
2017-02-01,557000000.00
2017-03-01,585000000.00
2017-04-01,516000000.00
2017-05-01,575000000.00
2017-06-01,559000000.00
2017-07-01,547000000.00
2017-08-01,616000000.00
2017-09-01,748000000.00
2017-10-01,697000000.00
2017-11-01,639000000.00
2017-12-01,699000000.00
2018-01-01,648000000.00
2018-02-01,676000000.00
2018-03-01,772000000.00
2018-04-01,670000000.00
