Date,JTS6200QUL
2000-12-01,293000.00
2001-01-01,264000.00
2001-02-01,305000.00
2001-03-01,303000.00
2001-04-01,290000.00
2001-05-01,278000.00
2001-06-01,267000.00
2001-07-01,255000.00
2001-08-01,257000.00
2001-09-01,265000.00
2001-10-01,251000.00
2001-11-01,260000.00
2001-12-01,260000.00
2002-01-01,253000.00
2002-02-01,245000.00
2002-03-01,209000.00
2002-04-01,250000.00
2002-05-01,256000.00
2002-06-01,241000.00
2002-07-01,261000.00
2002-08-01,237000.00
2002-09-01,213000.00
2002-10-01,246000.00
2002-11-01,232000.00
2002-12-01,274000.00
2003-01-01,248000.00
2003-02-01,236000.00
2003-03-01,215000.00
2003-04-01,222000.00
2003-05-01,237000.00
2003-06-01,235000.00
2003-07-01,231000.00
2003-08-01,235000.00
2003-09-01,259000.00
2003-10-01,248000.00
2003-11-01,233000.00
2003-12-01,243000.00
2004-01-01,258000.00
2004-02-01,244000.00
2004-03-01,253000.00
2004-04-01,253000.00
2004-05-01,239000.00
2004-06-01,247000.00
2004-07-01,275000.00
2004-08-01,255000.00
2004-09-01,219000.00
2004-10-01,241000.00
2004-11-01,260000.00
2004-12-01,246000.00
2005-01-01,260000.00
2005-02-01,262000.00
2005-03-01,284000.00
2005-04-01,288000.00
2005-05-01,264000.00
2005-06-01,272000.00
2005-07-01,266000.00
2005-08-01,276000.00
2005-09-01,280000.00
2005-10-01,269000.00
2005-11-01,268000.00
2005-12-01,264000.00
2006-01-01,242000.00
2006-02-01,266000.00
2006-03-01,260000.00
2006-04-01,259000.00
2006-05-01,279000.00
2006-06-01,292000.00
2006-07-01,284000.00
2006-08-01,286000.00
2006-09-01,272000.00
2006-10-01,283000.00
2006-11-01,290000.00
2006-12-01,305000.00
2007-01-01,271000.00
2007-02-01,289000.00
2007-03-01,276000.00
2007-04-01,276000.00
2007-05-01,304000.00
2007-06-01,263000.00
2007-07-01,275000.00
2007-08-01,301000.00
2007-09-01,241000.00
2007-10-01,261000.00
2007-11-01,277000.00
2007-12-01,261000.00
2008-01-01,284000.00
2008-02-01,278000.00
2008-03-01,278000.00
2008-04-01,303000.00
2008-05-01,237000.00
2008-06-01,257000.00
2008-07-01,266000.00
2008-08-01,247000.00
2008-09-01,244000.00
2008-10-01,262000.00
2008-11-01,230000.00
2008-12-01,228000.00
2009-01-01,239000.00
2009-02-01,227000.00
2009-03-01,220000.00
2009-04-01,206000.00
2009-05-01,217000.00
2009-06-01,231000.00
2009-07-01,218000.00
2009-08-01,220000.00
2009-09-01,236000.00
2009-10-01,226000.00
2009-11-01,227000.00
2009-12-01,235000.00
2010-01-01,208000.00
2010-02-01,207000.00
2010-03-01,214000.00
2010-04-01,247000.00
2010-05-01,214000.00
2010-06-01,252000.00
2010-07-01,210000.00
2010-08-01,215000.00
2010-09-01,216000.00
2010-10-01,221000.00
2010-11-01,222000.00
2010-12-01,220000.00
2011-01-01,208000.00
2011-02-01,212000.00
2011-03-01,223000.00
2011-04-01,222000.00
2011-05-01,225000.00
2011-06-01,222000.00
2011-07-01,195000.00
2011-08-01,233000.00
2011-09-01,224000.00
2011-10-01,221000.00
2011-11-01,226000.00
2011-12-01,227000.00
2012-01-01,247000.00
2012-02-01,269000.00
2012-03-01,249000.00
2012-04-01,242000.00
2012-05-01,254000.00
2012-06-01,236000.00
2012-07-01,240000.00
2012-08-01,239000.00
2012-09-01,214000.00
2012-10-01,229000.00
2012-11-01,254000.00
2012-12-01,248000.00
2013-01-01,288000.00
2013-02-01,266000.00
2013-03-01,264000.00
2013-04-01,263000.00
2013-05-01,258000.00
2013-06-01,258000.00
2013-07-01,281000.00
2013-08-01,272000.00
2013-09-01,285000.00
2013-10-01,283000.00
2013-11-01,255000.00
2013-12-01,286000.00
2014-01-01,266000.00
2014-02-01,261000.00
2014-03-01,239000.00
2014-04-01,280000.00
2014-05-01,276000.00
2014-06-01,294000.00
2014-07-01,303000.00
2014-08-01,260000.00
2014-09-01,309000.00
2014-10-01,311000.00
2014-11-01,311000.00
2014-12-01,298000.00
2015-01-01,331000.00
2015-02-01,340000.00
2015-03-01,319000.00
2015-04-01,314000.00
2015-05-01,323000.00
2015-06-01,318000.00
2015-07-01,328000.00
2015-08-01,351000.00
2015-09-01,320000.00
2015-10-01,334000.00
2015-11-01,364000.00
2015-12-01,345000.00
2016-01-01,296000.00
2016-02-01,339000.00
2016-03-01,336000.00
2016-04-01,353000.00
2016-05-01,352000.00
2016-06-01,355000.00
2016-07-01,348000.00
2016-08-01,336000.00
2016-09-01,359000.00
2016-10-01,356000.00
2016-11-01,344000.00
2016-12-01,367000.00
2017-01-01,386000.00
2017-02-01,337000.00
2017-03-01,377000.00
2017-04-01,359000.00
2017-05-01,380000.00
2017-06-01,375000.00
2017-07-01,351000.00
2017-08-01,348000.00
2017-09-01,361000.00
2017-10-01,403000.00
2017-11-01,377000.00
2017-12-01,370000.00
2018-01-01,355000.00
2018-02-01,358000.00
2018-03-01,387000.00
2018-04-01,378000.00
