Date,RETAILIRNSA
1992-01-01,1.80
1992-02-01,1.82
1992-03-01,1.72
1992-04-01,1.70
1992-05-01,1.62
1992-06-01,1.62
1992-07-01,1.63
1992-08-01,1.62
1992-09-01,1.72
1992-10-01,1.73
1992-11-01,1.78
1992-12-01,1.34
1993-01-01,1.86
1993-02-01,1.94
1993-03-01,1.76
1993-04-01,1.70
1993-05-01,1.64
1993-06-01,1.63
1993-07-01,1.60
1993-08-01,1.61
1993-09-01,1.71
1993-10-01,1.76
1993-11-01,1.75
1993-12-01,1.33
1994-01-01,1.86
1994-02-01,1.88
1994-03-01,1.62
1994-04-01,1.66
1994-05-01,1.63
1994-06-01,1.60
1994-07-01,1.63
1994-08-01,1.58
1994-09-01,1.71
1994-10-01,1.78
1994-11-01,1.76
1994-12-01,1.35
1995-01-01,1.90
1995-02-01,1.97
1995-03-01,1.72
1995-04-01,1.80
1995-05-01,1.66
1995-06-01,1.63
1995-07-01,1.68
1995-08-01,1.61
1995-09-01,1.75
1995-10-01,1.85
1995-11-01,1.81
1995-12-01,1.39
1996-01-01,1.88
1996-02-01,1.84
1996-03-01,1.68
1996-04-01,1.69
1996-05-01,1.57
1996-06-01,1.62
1996-07-01,1.61
1996-08-01,1.57
1996-09-01,1.75
1996-10-01,1.75
1996-11-01,1.76
1996-12-01,1.38
1997-01-01,1.79
1997-02-01,1.85
1997-03-01,1.64
1997-04-01,1.70
1997-05-01,1.58
1997-06-01,1.61
1997-07-01,1.58
1997-08-01,1.55
1997-09-01,1.69
1997-10-01,1.72
1997-11-01,1.77
1997-12-01,1.36
1998-01-01,1.79
1998-02-01,1.86
1998-03-01,1.68
1998-04-01,1.66
1998-05-01,1.55
1998-06-01,1.54
1998-07-01,1.55
1998-08-01,1.56
1998-09-01,1.68
1998-10-01,1.68
1998-11-01,1.74
1998-12-01,1.32
1999-01-01,1.78
1999-02-01,1.78
1999-03-01,1.59
1999-04-01,1.63
1999-05-01,1.55
1999-06-01,1.55
1999-07-01,1.52
1999-08-01,1.51
1999-09-01,1.62
1999-10-01,1.69
1999-11-01,1.69
1999-12-01,1.29
2000-01-01,1.76
2000-02-01,1.67
2000-03-01,1.53
2000-04-01,1.64
2000-05-01,1.52
2000-06-01,1.53
2000-07-01,1.56
2000-08-01,1.51
2000-09-01,1.64
2000-10-01,1.73
2000-11-01,1.72
2000-12-01,1.36
2001-01-01,1.76
2001-02-01,1.78
2001-03-01,1.60
2001-04-01,1.63
2001-05-01,1.50
2001-06-01,1.53
2001-07-01,1.55
2001-08-01,1.48
2001-09-01,1.72
2001-10-01,1.57
2001-11-01,1.60
2001-12-01,1.30
2002-01-01,1.68
2002-02-01,1.72
2002-03-01,1.55
2002-04-01,1.55
2002-05-01,1.47
2002-06-01,1.52
2002-07-01,1.47
2002-08-01,1.41
2002-09-01,1.65
2002-10-01,1.66
2002-11-01,1.67
2002-12-01,1.33
2003-01-01,1.69
2003-02-01,1.79
2003-03-01,1.61
2003-04-01,1.61
2003-05-01,1.50
2003-06-01,1.54
2003-07-01,1.47
2003-08-01,1.42
2003-09-01,1.59
2003-10-01,1.63
2003-11-01,1.68
2003-12-01,1.30
2004-01-01,1.68
2004-02-01,1.70
2004-03-01,1.54
2004-04-01,1.59
2004-05-01,1.50
2004-06-01,1.54
2004-07-01,1.49
2004-08-01,1.50
2004-09-01,1.60
2004-10-01,1.65
2004-11-01,1.66
2004-12-01,1.28
2005-01-01,1.72
2005-02-01,1.73
2005-03-01,1.53
2005-04-01,1.56
2005-05-01,1.49
2005-06-01,1.44
2005-07-01,1.39
2005-08-01,1.38
2005-09-01,1.53
2005-10-01,1.60
2005-11-01,1.60
2005-12-01,1.26
2006-01-01,1.63
2006-02-01,1.66
2006-03-01,1.48
2006-04-01,1.52
2006-05-01,1.43
2006-06-01,1.46
2006-07-01,1.45
2006-08-01,1.40
2006-09-01,1.56
2006-10-01,1.62
2006-11-01,1.60
2006-12-01,1.26
2007-01-01,1.62
2007-02-01,1.67
2007-03-01,1.46
2007-04-01,1.53
2007-05-01,1.39
2007-06-01,1.45
2007-07-01,1.45
2007-08-01,1.39
2007-09-01,1.57
2007-10-01,1.58
2007-11-01,1.56
2007-12-01,1.28
2008-01-01,1.60
2008-02-01,1.61
2008-03-01,1.49
2008-04-01,1.52
2008-05-01,1.38
2008-06-01,1.44
2008-07-01,1.42
2008-08-01,1.41
2008-09-01,1.58
2008-10-01,1.66
2008-11-01,1.73
2008-12-01,1.36
2009-01-01,1.68
2009-02-01,1.73
2009-03-01,1.58
2009-04-01,1.55
2009-05-01,1.43
2009-06-01,1.41
2009-07-01,1.37
2009-08-01,1.32
2009-09-01,1.49
2009-10-01,1.50
2009-11-01,1.50
2009-12-01,1.17
2010-01-01,1.51
2010-02-01,1.54
2010-03-01,1.35
2010-04-01,1.38
2010-05-01,1.33
2010-06-01,1.36
2010-07-01,1.35
2010-08-01,1.36
2010-09-01,1.48
2010-10-01,1.51
2010-11-01,1.47
2010-12-01,1.16
2011-01-01,1.49
2011-02-01,1.49
2011-03-01,1.33
2011-04-01,1.36
2011-05-01,1.31
2011-06-01,1.31
2011-07-01,1.32
2011-08-01,1.30
2011-09-01,1.41
2011-10-01,1.46
2011-11-01,1.42
2011-12-01,1.14
2012-01-01,1.47
2012-02-01,1.42
2012-03-01,1.30
2012-04-01,1.39
2012-05-01,1.30
2012-06-01,1.36
2012-07-01,1.38
2012-08-01,1.31
2012-09-01,1.47
2012-10-01,1.48
2012-11-01,1.45
2012-12-01,1.20
2013-01-01,1.51
2013-02-01,1.53
2013-03-01,1.37
2013-04-01,1.42
2013-05-01,1.32
2013-06-01,1.39
2013-07-01,1.35
2013-08-01,1.32
2013-09-01,1.51
2013-10-01,1.52
2013-11-01,1.51
2013-12-01,1.25
2014-01-01,1.58
2014-02-01,1.60
2014-03-01,1.42
2014-04-01,1.43
2014-05-01,1.33
2014-06-01,1.41
2014-07-01,1.38
2014-08-01,1.36
2014-09-01,1.49
2014-10-01,1.51
2014-11-01,1.50
2014-12-01,1.23
2015-01-01,1.58
2015-02-01,1.63
2015-03-01,1.43
2015-04-01,1.47
2015-05-01,1.37
2015-06-01,1.42
2015-07-01,1.38
2015-08-01,1.40
2015-09-01,1.53
2015-10-01,1.56
2015-11-01,1.56
2015-12-01,1.25
2016-01-01,1.65
2016-02-01,1.61
2016-03-01,1.47
2016-04-01,1.51
2016-05-01,1.44
2016-06-01,1.45
2016-07-01,1.45
2016-08-01,1.42
2016-09-01,1.55
2016-10-01,1.59
2016-11-01,1.55
2016-12-01,1.25
2017-01-01,1.64
2017-02-01,1.67
2017-03-01,1.46
2017-04-01,1.51
2017-05-01,1.40
2017-06-01,1.45
2017-07-01,1.45
2017-08-01,1.42
2017-09-01,1.51
2017-10-01,1.54
2017-11-01,1.47
2017-12-01,1.23
2018-01-01,1.59
2018-02-01,1.64
2018-03-01,1.40
2018-04-01,1.49
